brand_name,parent_company_name,id,validated,submission_type,submission_id,year,item_description,type_product,type_material,layer,name_of_lead,is_trained,organization,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,event_id,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
lottery ticket,lottery ticket,lottery ticket,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,33,0.0307262569832402
m&m,"mars, incorporated",q695087,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,3,0.00279329608938548
malta india,malta india,malta india,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
manhattan mini storage,manhattan mini storage,manhattan mini storage,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
manner,"josef manner & comp ag, josef manner & comp ag, manner","josef manner & comp ag, josef manner & comp ag, manner",false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
marlboro,altria,q445007,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,15,0.0139664804469274
mcdonalds,mcdonald’s,q38076,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,4,0.0037243947858473
mcdonalds,mcdonald’s,q38076,true,Excel Template Old,220,2018,null,null,ps,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
michelob,anheuser-busch inbev,q128738,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
milky nutty,roshen,roshen,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
milky way,"mars, incorporated",q695087,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
monster,the coca-cola company,q3295867,true,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
myle,myle,myle,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
n283,n283,n283,false,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,37,0.0344506517690875
naked,pepsico,q334800,false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
natural american spirit,reynolds american,q947718,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
nature valley,general mills,q629998,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,3,0.00279329608938548
nespresso,nestlé,q160746,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
