brand_name,parent_company_name,id,link,country,sum,validated
shikhan beer,heineken,Q180855,https://www.wikidata.org/wiki/Q180855,Russian Federation,24,FALSE
100 plus,"f&n beverage, fraser & neave holdings, tanzania cigarette company",Q22909263,https://www.wikidata.org/wiki/Q22909263,"Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia",24,FALSE
dutch lady,"dutch lady, freshland capnina co., ltd, frieslandcampina",Q248711,https://www.wikidata.org/wiki/Q248711,"Vietnam, Hong Kong, Malaysia, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam",24,FALSE
moja kravica jogurt,imlek,Q3149018,https://www.wikidata.org/wiki/Q3149018,Montenegro,24,FALSE
danup,danone,Q329426,https://www.wikidata.org/wiki/Q329426,"Mexico, Mexico, Morocco, Morocco, Morocco, Mexico",24,FALSE
coca cola (china),the coca-cola company,Q3295867,https://www.wikidata.org/wiki/Q3295867,"Hong Kong, Hong Kong",24,FALSE
rwenzori,the coca-cola company,Q3295867,https://www.wikidata.org/wiki/Q3295867,Uganda,24,FALSE
a&w,"the coca-cola company, yum! brands",Q3295867Q668737,https://www.wikidata.org/wiki/Q3295867Q668737,"Canada, United States of America, United States of America, United States of America, Malaysia, United States of America, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, United States of America, United States of America",24,FALSE
tata,"tata group, tata sons",Q331715,https://www.wikidata.org/wiki/Q331715,"India, India, India, India, India, India, India",24,FALSE
pepsi/miranda,pepsico,Q334800,https://www.wikidata.org/wiki/Q334800,Morocco,24,FALSE
amazon,amazon,Q3884,https://www.wikidata.org/wiki/Q3884,"Thailand, United States of America, United States of America, India, India, Thailand, India",24,FALSE
barrilete,colombiana,Q54850298,https://www.wikidata.org/wiki/Q54850298,Ecuador,24,FALSE
clever,"rewe-zentral ag, rewe group",Q573266,https://www.wikidata.org/wiki/Q573266,"Austria, Austria, Austria, Lithuania, Lithuania, Lithuania",24,FALSE
coleman,newell brands,Q667599,https://www.wikidata.org/wiki/Q667599,"Canada, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",24,FALSE
hansel chocolate sandwich,republic biscuit corporation,Q7314390,https://www.wikidata.org/wiki/Q7314390,Philippines,24,FALSE
gamesa,"gamesa, grupo bimbo, pepsico",Q775031Q334800,https://www.wikidata.org/wiki/Q775031Q334800,"Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico",24,FALSE
maruchan,"marruchan, toyo suisan",Q7830633,https://www.wikidata.org/wiki/Q7830633,"United States of America, Mexico, United States of America, United States of America, United States of America, Mexico",24,FALSE
